index	block_id	loader_family	x	y	z
0	chisel:array/andesite	giant	-72	100	-82
1	chisel:array/black_concrete	giant	-70	100	-82
2	chisel:array/blue_concrete	giant	-68	100	-82
3	chisel:array/bricks	giant	-66	100	-82
4	chisel:array/brown_concrete	giant	-64	100	-82
5	chisel:array/coal_block	giant	-62	100	-82
6	chisel:array/cobblestone	giant	-60	100	-82
7	chisel:array/cyan_concrete	giant	-58	100	-82
8	chisel:array/deepslate	giant	-56	100	-82
9	chisel:array/diorite	ctm	-54	100	-82
10	chisel:array/end_stone	giant	-52	100	-82
11	chisel:array/glowstone	giant	-50	100	-82
12	chisel:array/granite	ctm	-48	100	-82
13	chisel:array/gray_concrete	giant	-46	100	-82
14	chisel:array/green_concrete	giant	-44	100	-82
15	chisel:array/ice	giant	-42	100	-82
16	chisel:array/light_blue_concrete	giant	-40	100	-82
17	chisel:array/light_gray_concrete	giant	-38	100	-82
18	chisel:array/lime_concrete	giant	-36	100	-82
19	chisel:array/magenta_concrete	giant	-34	100	-82
20	chisel:array/orange_concrete	giant	-32	100	-82
21	chisel:array/pink_concrete	giant	-30	100	-82
22	chisel:array/prismarine	giant	-28	100	-82
23	chisel:array/purple_concrete	giant	-72	100	-80
24	chisel:array/purpur	giant	-70	100	-80
25	chisel:array/quartz	giant	-68	100	-80
26	chisel:array/red_concrete	giant	-66	100	-80
27	chisel:array/red_sandstone	giant	-64	100	-80
28	chisel:array/redstone_block	giant	-62	100	-80
29	chisel:array/sandstone	giant	-60	100	-80
30	chisel:array/stone	giant	-58	100	-80
31	chisel:array/white_concrete	giant	-56	100	-80
32	chisel:array/yellow_concrete	giant	-54	100	-80
33	chisel:braid/acacia_planks	ctm	-52	100	-80
34	chisel:braid/birch_planks	ctm	-50	100	-80
35	chisel:braid/crimson_planks	ctm	-48	100	-80
36	chisel:braid/dark_oak_planks	ctm	-46	100	-80
37	chisel:braid/jungle_planks	ctm	-44	100	-80
38	chisel:braid/oak_planks	ctm	-42	100	-80
39	chisel:braid/spruce_planks	ctm	-40	100	-80
40	chisel:bubble/glass	ctm	-38	100	-80
41	chisel:cells/diamond_block	giant	-36	100	-80
42	chisel:chrono/glass	ctm	-34	100	-80
43	chisel:circular/andesite	ctm	-32	100	-80
44	chisel:circular/black_concrete	ctm	-30	100	-80
45	chisel:circular/blue_concrete	ctm	-28	100	-80
46	chisel:circular/bricks	ctm	-72	100	-78
47	chisel:circular/brown_concrete	ctm	-70	100	-78
48	chisel:circular/coal_block	ctm	-68	100	-78
49	chisel:circular/cobblestone	ctm	-66	100	-78
50	chisel:circular/cyan_concrete	ctm	-64	100	-78
51	chisel:circular/deepslate	ctm	-62	100	-78
52	chisel:circular/diorite	ctm	-60	100	-78
53	chisel:circular/end_stone	ctm	-58	100	-78
54	chisel:circular/granite	ctm	-56	100	-78
55	chisel:circular/gray_concrete	ctm	-54	100	-78
56	chisel:circular/green_concrete	ctm	-52	100	-78
57	chisel:circular/ice	ctm	-50	100	-78
58	chisel:circular/light_blue_concrete	ctm	-48	100	-78
59	chisel:circular/light_gray_concrete	ctm	-46	100	-78
60	chisel:circular/lime_concrete	ctm	-44	100	-78
61	chisel:circular/magenta_concrete	ctm	-42	100	-78
62	chisel:circular/orange_concrete	ctm	-40	100	-78
63	chisel:circular/pink_concrete	ctm	-38	100	-78
64	chisel:circular/prismarine	ctm	-36	100	-78
65	chisel:circular/purple_concrete	ctm	-34	100	-78
66	chisel:circular/purpur	ctm	-32	100	-78
67	chisel:circular/quartz	ctm	-30	100	-78
68	chisel:circular/red_concrete	ctm	-28	100	-78
69	chisel:circular/red_sandstone	ctm	-72	100	-76
70	chisel:circular/sandstone	ctm	-70	100	-76
71	chisel:circular/stone	ctm	-68	100	-76
72	chisel:circular/white_concrete	ctm	-66	100	-76
73	chisel:circular/yellow_concrete	ctm	-64	100	-76
74	chisel:cobble/dirt	ctm	-62	100	-76
75	chisel:crude_horizontal/acacia_planks	ctm	-60	100	-76
76	chisel:dent/andesite	ctm	-58	100	-76
77	chisel:dent/black_concrete	ctm	-56	100	-76
78	chisel:dent/blue_concrete	ctm	-54	100	-76
79	chisel:dent/bricks	ctm	-52	100	-76
80	chisel:dent/brown_concrete	ctm	-50	100	-76
81	chisel:dent/coal_block	ctm	-48	100	-76
82	chisel:dent/cobblestone	ctm	-46	100	-76
83	chisel:dent/cyan_concrete	ctm	-44	100	-76
84	chisel:dent/deepslate	ctm	-42	100	-76
85	chisel:dent/diorite	ctm	-40	100	-76
86	chisel:dent/end_stone	ctm	-38	100	-76
87	chisel:dent/glowstone	ctm	-36	100	-76
88	chisel:dent/granite	ctm	-34	100	-76
89	chisel:dent/gray_concrete	ctm	-32	100	-76
90	chisel:dent/green_concrete	ctm	-30	100	-76
91	chisel:dent/ice	ctm	-28	100	-76
92	chisel:dent/light_blue_concrete	ctm	-72	100	-74
93	chisel:dent/light_gray_concrete	ctm	-70	100	-74
94	chisel:dent/lime_concrete	ctm	-68	100	-74
95	chisel:dent/magenta_concrete	ctm	-66	100	-74
